,Unnamed: 0,address,location,AWB,names,product_id,lat,lng
0,0,"Shop 37, 3rd Cross, Outer Ring Road, Kadubisnahalli, Marathahalli, Bangalore, MTH",MTH,48712626536,Gary Nelson,SKU_7,12.9389269,77.6946805
1,1,"2nd Floor, All Season Super Market Building, Panathur Road, Kadubeesanahalli, Panathur, Marathahalli, Bangalore, MTH",MTH,79263517463,Willie Kirkwood,SKU_127,12.9355432,77.7057337
3,3,"89/1, Tulasi Theater Road, Near SBR Palace, Marathahalli, Bangalore, MTH",MTH,98486281871,Terry Sanabria,SKU_150,12.9499232,77.6976686
4,4,"20/5, Narayanswamy Building, Kadubeesanahalli Bridge, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore, MTH",MTH,48552195740,Barbara Capehart,SKU_42,12.9394137,77.6952031
5,5,"90/4, Above Sony Centre, Opposite Park Plaza, Outer Ring Road, Marathahalli, Bangalore, MTH",MTH,51656603551,Patrick Gilliam,SKU_55,12.9502139,77.6989321
6,6,"Kadubeesanahalli, Near Aricent Technologies, Marathahalli, Bangalore, MTH",MTH,19455702296,John Granderson,SKU_140,12.9394137,77.6952031
7,7,"94/2, Panathur Railway Station Road, Opp to JP Morgan (Outer Ring Road), Munnireddy Layout, Panathur, Bangalore, MTH",MTH,98312518779,Patricia Haislip,SKU_120,12.9413202,77.70326
8,8,"89/1, Service Road, Marathahalli, Bangalore, MTH",MTH,55026656606,Carolyn Buchan,SKU_139,12.9503914,77.69867599999999
9,9,"88, KBR Complex, More Mega Store, Marathahalli, Bangalore, MTH",MTH,73406214406,Jane Jones,SKU_148,12.9708994,77.69874930000002
10,10,"Panathur Main Road, Kadubeesanahalli, Marathahalli, Bangalore, MTH",MTH,47015403024,Anita Valdez,SKU_112,12.9371558,77.7023374
11,11,"127, Kadubisannhalli, Panathur Main Road, Marathahalli, Bangalore, MTH",MTH,45180804640,Carrie Lumpkin,SKU_77,12.9324386,77.7081077
12,12,"Ground Floor, Vims Hospital Buidling, Opposite to More, Marathahalli, Bangalore, MTH",MTH,31203804545,Katie Kochevar,SKU_61,12.9483018,77.69946519999999
13,13,"77 Town Center, Yemalur Road, Marathahalli Village, Marathahalli, Bangalore, MTH",MTH,66199582549,Rose Lau,SKU_79,12.9486582,77.6899712
14,14,"20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore, MTH",MTH,22660986194,Delores Dupont,SKU_149,12.9399931,77.6962218
15,15,"Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, Bangalore, MTH",MTH,25907907008,Frank Lester,SKU_103,12.9435238,77.6975202
16,16,"Shop 7, 8 Opposite, Airtel Express, Panathur Main Road, Marathahalli, Bangalore, MTH",MTH,61450912280,Tommy Mason,SKU_129,12.9324386,77.7081077
17,17,"Srinivasa Nilayam, Site 3, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Marathahalli, Bangalore, MTH",MTH,60841023934,Bobbie Scarborough,SKU_3,12.956924,77.701127
18,18,"Salarpuria Sattva Aura, Kiosk 6, Foodworks Food Court, Block 11, Marathahalli - Sarjapur Outer Ring Road, Kaverappa Layout, Kadubeesanahalli, Marathahalli, Bangalore, MTH",MTH,35828962763,Jesse Vaness,SKU_25,12.9394137,77.6952031
19,19,"23/4, Kariyammana Agrahara Road Kadubisinahalli, Prestige Tech Park Back Gate, Marathahalli, Bangalore, MTH",MTH,87093968225,Russell Diamond,SKU_69,12.948889,77.686014
20,20,"Plot 302, Shop 1, 2nd Cross, Kadubesanahalli, Panathur Main Road, Marathahalli, Bangalore, MTH",MTH,71791751983,Dorothy Davis,SKU_44,12.9399329,77.6979661
21,21,"6,Opposite Prestige Tech Park, Kadubeesanhalli Bus Stop, Marathahalli, Bangalore, MTH",MTH,75026092650,Herman Boulds,SKU_100,12.9395573,77.6898247
22,22,"18, Prakruthi Enclave, Panathur Road, Kadubeesanahalli, Marathahalli, Bangalore, MTH",MTH,41891691354,Catherine Wilson,SKU_78,12.9394137,77.6952031
23,23,"Shop 217, 2nd Main Road Kadubeesanahalli Croma Back Side Road Near Kumbeshwara Temple Marathahalli, Bangalore, MTH",MTH,49695767650,Mary Compton,SKU_53,12.956924,77.701127
24,24,"77 Town, Building No 3, Divya Shree Building, Yamalur Post, Marathahalli, Bangalore, MTH",MTH,62165843566,Aaron Davis,SKU_5,12.9490141,77.68933059999999
25,25,"Near kaka singh dhaba, RMZ eco world backgate, MTH",MTH,70987447117,Holly Sallee,SKU_104,12.9242482,77.6859058
26,26,"41, Kadubeesanahalli, Marathahalli, Bangalore, MTH",MTH,17162566322,Tracy Vanhoy,SKU_87,12.9394137,77.6952031
27,27,"5, KBR Mall Complex, Ground Floor, More Mega Store, Varthur Hobli, Marathahalli, Bangalore, MTH",MTH,32184021928,Harry Heishman,SKU_138,12.9560586,77.693026
